,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
4683,2024,MI,FT,Data Science,179000,US,In person,US,M
4684,2024,MI,FT,Data Science,106500,US,In person,US,M
4685,2024,MI,FT,Data Scientist,212800,US,In person,US,L
4686,2024,MI,FT,Data Scientist,111600,US,In person,US,L
4687,2024,SE,FT,Machine Learning Engineer,166700,US,Fully remote,US,M
4688,2024,SE,FT,Machine Learning Engineer,150000,US,Fully remote,US,M
4689,2024,SE,FT,Machine Learning Engineer,220000,US,In person,US,M
4690,2024,SE,FT,Machine Learning Engineer,170000,US,In person,US,M
4692,2024,SE,FT,Machine Learning Engineer,141000,US,Fully remote,US,M
4694,2024,SE,FT,Research Engineer,100000,US,In person,US,M
4695,2024,EX,FT,Managing Director Data Science,260000,US,Hybrid,US,L
4696,2024,EX,FT,Data Scientist,246100,US,In person,US,M
4697,2024,EX,FT,Data Scientist,181900,US,In person,US,M
4698,2024,SE,FT,Analytics Engineer,130000,CA,In person,CA,M
4699,2024,SE,FT,Analytics Engineer,110000,CA,In person,CA,M
4700,2024,MI,FT,Data Engineer,133000,AU,In person,AU,M
4701,2024,MI,FT,Data Engineer,58300,AU,In person,AU,M
4702,2024,EN,FT,Machine Learning Engineer,91000,US,In person,US,M
4703,2024,EN,FT,Machine Learning Engineer,70000,US,In person,US,M
4704,2024,SE,FT,ML Engineer,212000,DE,In person,DE,M
4705,2024,SE,FT,ML Engineer,93300,DE,In person,DE,M
4706,2024,EX,FT,Business Intelligence Developer,177500,US,In person,US,M
4707,2024,EX,FT,Business Intelligence Developer,117500,US,In person,US,M
4708,2024,MI,FT,Data Scientist,137930,CA,In person,CA,M
4709,2024,MI,FT,Data Scientist,74270,CA,In person,CA,M
4710,2024,EN,FT,Business Intelligence Analyst,95000,US,In person,US,M
4711,2024,EN,FT,Business Intelligence Analyst,70000,US,In person,US,M
4712,2024,SE,FT,Data Science,258720,US,In person,US,M
4713,2024,SE,FT,Data Science,160000,US,In person,US,M
4714,2024,EN,FT,Data Quality Analyst,85000,LB,In person,LB,M
4715,2024,EN,FT,Data Quality Analyst,58500,LB,In person,LB,M
4716,2024,MI,FT,BI Developer,154800,US,In person,US,M
4717,2024,MI,FT,BI Developer,76300,US,In person,US,M
4718,2024,MI,FT,AI Engineer,170200,US,In person,US,M
4719,2024,MI,FT,AI Engineer,83900,US,In person,US,M
4720,2024,SE,FT,Data Engineer,205000,US,Fully remote,US,M
4721,2024,SE,FT,Data Engineer,165000,US,Fully remote,US,M
4722,2024,MI,FT,Data Scientist,250000,US,In person,US,M
4723,2024,MI,FT,Data Scientist,131600,US,In person,US,M
4724,2024,SE,FT,Data Scientist,240000,US,In person,US,M
4725,2024,SE,FT,Data Scientist,187000,US,In person,US,M
4726,2024,MI,FT,Data Engineer,134600,US,In person,US,M
4727,2024,MI,FT,Data Engineer,103000,US,In person,US,M
4729,2024,SE,FT,Machine Learning Engineer,159000,US,In person,US,M
4730,2024,MI,FT,Research Engineer,74276,AU,In person,AU,M
4731,2024,MI,FT,Research Engineer,70230,AU,In person,AU,M
4733,2024,SE,FT,Data Engineer,245000,US,In person,US,M
4735,2024,MI,FT,Data Scientist,245000,US,In person,US,M
4736,2024,MI,FT,Data Engineer,214300,US,In person,US,M
4737,2024,MI,FT,Data Engineer,108500,US,In person,US,M
4738,2024,SE,FT,Machine Learning Engineer,245700,US,In person,US,M
4739,2024,SE,FT,Machine Learning Engineer,132300,US,In person,US,M
4740,2024,MI,FT,Data Specialist,80000,US,In person,US,M
4741,2024,MI,FT,Data Specialist,73000,US,In person,US,M
4742,2024,SE,FT,Machine Learning Engineer,263500,US,Fully remote,US,M
4743,2024,SE,FT,Machine Learning Engineer,189360,US,Fully remote,US,M
4744,2024,SE,FT,Data Architect,175000,US,Fully remote,US,M
4745,2024,SE,FT,Data Architect,125000,US,Fully remote,US,M
4746,2024,EX,FT,Data Science,175762,US,In person,US,M
4747,2024,EX,FT,Data Science,97254,US,In person,US,M
4748,2024,SE,FT,Applied Scientist,218213,US,Fully remote,US,M
4749,2024,SE,FT,Applied Scientist,178538,US,Fully remote,US,M
4751,2024,MI,FT,Research Engineer,295000,US,In person,US,M
4752,2024,MI,FT,Research Engineer,118600,US,In person,US,M
4753,2024,MI,FT,Research Engineer,96800,US,In person,US,M
4754,2024,MI,FT,Data Scientist,198800,US,In person,US,M
4755,2024,MI,FT,Data Scientist,90700,US,In person,US,M
4756,2024,SE,FT,Data Engineer,145000,US,In person,US,M
4757,2024,SE,FT,Data Engineer,115000,US,In person,US,M
4758,2024,SE,FT,Data Engineer,269100,US,In person,US,M
4759,2024,SE,FT,Data Engineer,131300,US,In person,US,M
4761,2024,MI,FT,Research Engineer,245000,US,In person,US,M
4762,2024,EN,FT,Data Analyst,99900,US,In person,US,M
4763,2024,EN,FT,Data Analyst,83000,US,In person,US,M
