,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
4357,2024,SE,FT,Machine Learning Engineer,331640,US,In person,US,M
4377,2024,EX,FT,Data Science,300000,US,Fully remote,US,M
4408,2024,MI,FT,Research Scientist,440000,US,In person,US,M
4414,2024,EX,FT,Data Science,326000,US,Fully remote,US,M
4420,2024,SE,FT,Machine Learning Engineer,324000,US,In person,US,M
4446,2024,SE,FT,Machine Learning Engineer,322000,US,Fully remote,US,M
4448,2024,SE,FT,Data Engineer,316900,US,In person,US,M
4458,2024,EX,FT,Data Science,381500,US,In person,US,M
4507,2024,SE,FT,Machine Learning Engineer,365100,US,In person,US,M
4540,2024,SE,FT,Machine Learning Engineer,300000,US,In person,US,M
4564,2024,SE,FT,Machine Learning Engineer,303400,US,Fully remote,US,M
4578,2024,SE,FT,Machine Learning Engineer,303400,US,In person,US,M
4655,2024,SE,FT,Machine Learning Engineer,322000,US,Fully remote,US,M
4675,2024,EX,FT,Data Science,323700,US,Fully remote,US,M
4691,2024,SE,FT,Machine Learning Engineer,418000,US,Fully remote,US,M
4693,2024,SE,FT,Research Engineer,440000,US,In person,US,M
4728,2024,SE,FT,Machine Learning Engineer,324000,US,In person,US,M
4732,2024,SE,FT,Data Engineer,385000,US,In person,US,M
4734,2024,MI,FT,Data Scientist,385000,US,In person,US,M
4750,2024,MI,FT,Research Engineer,440000,US,In person,US,M
4760,2024,MI,FT,Research Engineer,440000,US,In person,US,M
4774,2024,SE,FT,Research Engineer,450000,US,In person,US,M
4786,2024,SE,FT,Machine Learning Engineer,331640,US,In person,US,M
4794,2024,SE,FT,Research Scientist,440000,US,In person,US,M
4818,2024,SE,FT,Research Scientist,440000,US,In person,US,M
4827,2024,SE,FT,ML Engineer,357900,US,In person,US,M
4835,2024,SE,FT,Applied Scientist,414000,US,In person,US,M
4845,2024,SE,FT,Data Architect,381500,US,In person,US,M
4875,2024,SE,FT,ML Engineer,324000,US,In person,US,M
4879,2024,SE,FT,Machine Learning Engineer,303400,CA,Fully remote,CA,M
4932,2024,SE,FT,Machine Learning Engineer,303400,US,Fully remote,US,M
4952,2024,SE,FT,Research Scientist,440000,US,In person,US,M
4964,2024,MI,FT,Machine Learning Scientist,750000,US,In person,US,M
4968,2024,SE,FT,Research Engineer,440000,US,In person,US,M
4994,2024,MI,FT,Research Engineer,720000,US,In person,US,M
5004,2024,MI,FT,Research Scientist,720000,US,In person,US,M
5008,2024,MI,FT,Research Engineer,720000,US,In person,US,M
5080,2024,SE,FT,AI Architect,317000,US,In person,US,M
5092,2024,SE,FT,Machine Learning Engineer,300000,US,In person,US,M
5096,2024,SE,FT,Data Scientist,324000,US,In person,US,M
5128,2024,MI,FT,Data Engineer,308000,US,In person,US,M
5134,2024,SE,FT,Machine Learning Engineer,324000,US,In person,US,M
5170,2024,MI,FT,Data Scientist,310000,US,In person,US,M
5283,2023,SE,FT,Research Engineer,300000,US,In person,US,M
5411,2023,MI,FT,Data Scientist,310000,US,In person,US,M
5504,2023,SE,FT,Data Engineer,333500,US,In person,US,M
5562,2023,MI,FT,Machine Learning Scientist,750000,US,In person,US,M
5568,2023,MI,FT,Machine Learning Engineer,750000,US,In person,US,M
5570,2023,SE,FT,Computer Vision Engineer,351000,US,In person,US,M
5588,2023,SE,FT,Data Engineer,300000,US,Fully remote,US,M
5616,2023,SE,FT,Data Scientist,305600,US,In person,US,M
5687,2023,SE,FT,Machine Learning Engineer,319000,US,In person,US,M
5801,2023,SE,FT,Data Scientist,359170,US,In person,US,M
5817,2023,SE,FT,Machine Learning Engineer,331640,US,In person,US,M
5821,2023,EN,FT,Research Engineer,350000,US,In person,US,M
5871,2023,SE,FT,Analytics Engineer,700000,US,Fully remote,US,M
6033,2023,SE,FT,Machine Learning Engineer,300000,US,In person,US,M
6041,2023,SE,FT,Machine Learning Engineer,300000,US,In person,US,M
6108,2023,SE,FT,Machine Learning Engineer,370000,US,In person,US,M
6124,2023,EX,FT,Data Engineer,350000,US,Fully remote,US,M
6222,2023,EX,FT,Data Engineer,465000,US,In person,US,M
6223,2023,EX,FT,Data Engineer,385000,US,In person,US,M
6281,2023,SE,FT,Data Scientist,300000,US,In person,US,M
6437,2023,SE,FT,Deep Learning Engineer,303387,CA,Fully remote,CA,M
6490,2023,SE,FT,Machine Learning Engineer,306400,CA,In person,CA,M
6498,2023,MI,FT,Analytics Engineer,700000,US,Fully remote,US,M
6528,2023,SE,FT,Machine Learning Engineer,319000,US,Fully remote,US,M
6546,2023,MI,FT,Data Engineer,750000,US,In person,US,M
6604,2023,SE,FT,Machine Learning Engineer,305600,US,In person,US,M
6654,2023,SE,FT,Data Scientist,750000,US,In person,US,M
6682,2023,SE,FT,ML Engineer,331640,US,In person,US,M
6782,2023,SE,FT,ML Engineer,336300,US,In person,US,M
6804,2023,SE,FT,Research Scientist,323300,US,In person,US,M
6836,2023,SE,FT,Machine Learning Engineer,300000,US,In person,US,M
6856,2023,SE,FT,Machine Learning Engineer,324000,US,In person,US,M
6904,2023,SE,FT,Data Engineer,300000,US,Fully remote,US,M
6926,2023,MI,FT,Machine Learning Engineer,300000,US,In person,US,M
6951,2023,SE,FT,Data Engineer,300000,US,In person,US,M
6957,2023,SE,FT,Machine Learning Engineer,305600,US,In person,US,M
7077,2023,SE,FT,Research Scientist,370000,US,In person,US,M
7117,2023,SE,FT,Research Engineer,308000,US,In person,US,M
7151,2023,SE,FT,Machine Learning Engineer,333500,US,In person,US,M
7155,2023,SE,FT,Data Architect,354200,US,Fully remote,US,M
7177,2023,SE,FT,Data Scientist,305600,US,In person,US,M
7221,2023,SE,FT,Research Scientist,303050,US,In person,US,M
7234,2023,SE,FT,Machine Learning Engineer,328400,US,Fully remote,US,M
7262,2023,SE,FT,Data Scientist,329700,US,In person,US,M
7296,2023,SE,FT,Data Architect,310000,US,Fully remote,US,M
7298,2023,SE,FT,AI Engineer,372000,US,In person,US,M
7312,2023,SE,FT,Data Engineer,300000,US,In person,US,M
7316,2023,SE,FT,AI Architect,305100,US,Fully remote,US,M
7346,2023,SE,FT,Data Engineer,304750,US,In person,US,M
7352,2023,SE,FT,Data Scientist,307100,US,In person,US,M
7490,2023,SE,FT,Machine Learning Engineer,324000,US,In person,US,M
7496,2023,SE,FT,Research Engineer,370000,US,In person,US,M
7520,2023,SE,FT,Machine Learning Engineer,309000,US,In person,US,M
7563,2023,MI,FT,Research Engineer,300000,US,In person,US,M
7565,2023,MI,FT,Research Engineer,300000,US,In person,US,M
7581,2023,SE,FT,ML Engineer,324000,US,In person,US,M
7670,2023,SE,FT,Data Scientist,308000,US,In person,US,M
7694,2023,SE,FT,Machine Learning Engineer,331640,US,In person,US,M
7724,2023,SE,FT,Machine Learning Scientist,300000,US,In person,US,M
7771,2023,MI,FT,Analytics Engineer,369120,GB,In person,GB,M
7807,2023,SE,FT,Data Scientist,316000,US,In person,US,M
7964,2023,MI,FT,Research Scientist,405000,US,In person,US,L
7986,2023,EX,FT,Director of Data Science,353200,US,In person,US,M
8005,2023,MI,FT,Research Scientist,300000,US,In person,US,M
8011,2023,SE,FT,Data Scientist,300000,US,In person,US,M
8126,2023,SE,FT,AI Engineer,350000,US,In person,US,M
8130,2023,SE,FT,Data Engineer,385000,US,In person,US,M
8140,2023,SE,FT,Data Scientist,308000,US,In person,US,M
8144,2023,SE,FT,Data Engineer,300000,US,In person,US,M
8158,2023,SE,FT,Research Scientist,300000,US,In person,US,M
8160,2023,SE,FT,ML Engineer,300000,US,In person,US,M
8168,2023,SE,FT,Research Engineer,308000,US,In person,US,M
8174,2023,SE,FT,Research Engineer,385000,US,In person,US,M
8175,2023,SE,FT,Research Engineer,310000,US,In person,US,M
8180,2023,SE,FT,Data Engineer,385000,US,In person,US,M
8181,2023,SE,FT,Data Engineer,310000,US,In person,US,M
8200,2023,MI,FT,AI Engineer,369120,GB,In person,GB,M
8206,2023,SE,FT,Data Architect,306000,US,Fully remote,US,M
8214,2023,MI,FT,Data Analyst,369120,GB,In person,GB,M
8228,2023,SE,FT,AI Engineer,360000,US,In person,US,M
8359,2023,SE,FT,Machine Learning Engineer,330000,US,Fully remote,US,M
8404,2023,MI,FT,Machine Learning Engineer,300000,US,In person,US,M
8426,2023,SE,FT,Research Engineer,306000,US,In person,US,M
8440,2023,SE,FT,Data Architect,306000,US,Fully remote,US,M
8456,2023,SE,FT,Data Scientist,324000,US,In person,US,M
8479,2023,SE,FT,Machine Learning Engineer,370000,US,In person,US,M
8630,2023,SE,FT,Data Infrastructure Engineer,300105,US,In person,US,M
8662,2023,SE,FT,Data Scientist,316000,US,In person,US,M
8665,2023,EX,FT,Head of Machine Learning,330000,US,In person,US,M
8689,2023,EX,FT,Head of Data,329500,US,Fully remote,US,M
8739,2023,SE,FT,Machine Learning Engineer,340000,US,In person,US,M
8745,2023,SE,FT,Machine Learning Engineer,309000,US,In person,US,M
8751,2023,SE,FT,Research Scientist,303050,US,In person,US,M
8759,2023,SE,FT,Research Scientist,303050,US,In person,US,M
8761,2023,SE,FT,Data Infrastructure Engineer,385000,US,In person,US,M
8776,2023,SE,FT,Machine Learning Engineer,330000,US,In person,US,M
8786,2023,SE,FT,Machine Learning Engineer,328133,US,In person,US,M
8808,2023,SE,FT,Machine Learning Engineer,309000,US,In person,US,M
8891,2023,EX,FT,Director of Data Science,375500,US,Fully remote,US,M
